diag_trans_ts,locomotive_id,loco_type,zone,has_ac_cab,speed,temperature,vibration,load,energy_consumption,wheel_wear,brake_pressure,battery_voltage,mileage,humidity,external_temp,wind_speed,previous_maintenance_in_days,fault_code
2024-06-07 19:06:43.451753,WAP7-077,WAP7,NR,1,98.40979734810412,85.66091230961783,3.6021388140352197,105.62955775786529,787.9232115607001,8.580449014177283,4.272105066893822,26.306770689802956,218417.36068606132,32.928762929187116,43.98047650475516,7.906219784255546,155,Overheating
2024-12-27 04:42:43.451753,WAP4-040,WAP4,ECR,0,22.54953790418236,60.94480942920733,3.1361637574844305,110.8747984968657,1154.6031600725848,37.816789449496156,2.931001378966213,27.2392474373299,241082.60526622276,74.32338069808938,40.14447409718073,15.524068532539266,217,Normal
2023-10-06 01:12:43.451753,WAP5-060,WAP7,ECR,1,46.93685854257999,57.203279732350865,1.4857212522221166,67.42976000463773,1107.8790910031366,50.68023047062081,4.816378787547474,24.16462398184641,497988.5552848953,17.140460966035338,-13.747244996280504,38.41269106470901,191,Normal
2023-09-12 20:26:43.451753,WAG7-086,WAG7,ECR,0,71.40263047940448,58.97716524809322,3.8905761616536783,47.697138098259735,880.7431298136875,31.005071233030367,3.0453338291786727,25.57919082153919,290365.2474671092,56.21923798619509,-5.796436309298064,23.42699973995427,288,Normal
2024-07-09 05:42:43.451753,WAG9H-071,WAP4,CR,0,87.93128586358408,74.98675897224861,2.4573891306337994,20.427896827571303,1059.7649441236506,43.046459076012,5.023096109753427,20.882576624917537,42632.023298487664,86.51187373427481,42.6422165280042,21.583420838179723,84,Normal
2024-10-05 16:58:43.451753,WAP4-023,WAG7,WCR,0,25.501408862408297,72.99027341863822,1.8593792317187756,74.5629705808148,1091.3662099188577,42.76205894093014,3.4998545973003155,24.53589321365344,439161.11397010303,14.649557391405787,6.018871487372227,75.46625193906216,176,Normal
2024-09-11 00:30:43.451753,WAP7-099,WAP7,WCR,1,103.039587097252,84.93649980143523,3.6945959532280037,81.88585325486666,892.1277196357717,81.97493412091559,5.886997070444448,23.68428748833615,62908.77667402567,79.19642983622177,29.665863857884247,77.34889679166828,92,Excessive Wheel Wear
2022-12-26 16:58:43.451753,WAG9H-063,WAG9H,SWR,1,25.802531427469173,68.50146403858176,0.34569024827019446,87.00972849687267,1028.7097787505124,87.64916432899254,5.763850297104829,24.148661266593013,362323.6380956635,75.73713805640742,5.570430927546894,63.814762693212934,40,Excessive Wheel Wear
2023-05-31 10:54:43.451753,WAG7-044,WAP7,SER,1,84.30941024114367,70.12471669723797,2.7560536462592053,34.77460207555704,1135.743425366691,36.736250976090965,2.981258455957991,25.604878813962664,384137.45407824713,87.44817872057929,10.37531267078035,46.502747994317595,169,Normal
2023-03-03 07:10:43.451753,WAP5-025,WAG7,WCR,0,105.92400660824055,80.01416449740502,4.676015984753688,12.483608067354664,1237.04336940812,51.77981075545236,3.5422500063915927,24.681517117404937,347303.2384142381,67.62793392459655,-19.163829801304004,27.910079537476964,340,Normal
